,Tag ID,Longitude,Latitude,Scientific Name,gps:satellite-count,individual-local-identifier
346,F701533,-92.936109,57.94258,Vulpes vulpes,6,A
347,F701533,-92.907356,57.93536,Vulpes vulpes,7,A
348,F701533,-92.884871,57.880623,Vulpes vulpes,10,A
349,F701533,-92.887537,57.880675,Vulpes vulpes,6,A
350,F701533,-92.88751,57.880626,Vulpes vulpes,8,A
351,F701533,-92.887439,57.88061,Vulpes vulpes,9,A
352,F701533,-92.889318,57.880755,Vulpes vulpes,7,A
353,F701533,-92.878276,57.876163,Vulpes vulpes,9,A
354,F701533,-92.875492,57.882214,Vulpes vulpes,8,A
355,F701533,-92.872373,57.888781,Vulpes vulpes,7,A
356,F701533,-92.835009,57.896383,Vulpes vulpes,8,A
357,F701533,-92.842572,57.887594,Vulpes vulpes,7,A
358,F701533,-92.842508,57.887561,Vulpes vulpes,9,A
359,F701533,-92.842378,57.887601,Vulpes vulpes,8,A
360,F701533,-92.842574,57.887552,Vulpes vulpes,8,A
361,F701533,-92.843009,57.887246,Vulpes vulpes,5,A
362,F701533,-92.836395,57.877307,Vulpes vulpes,7,A
363,F701533,-92.860531,57.866882,Vulpes vulpes,7,A
364,F701533,-92.871495,57.866552,Vulpes vulpes,7,A
365,F701533,-92.871454,57.86656,Vulpes vulpes,7,A
366,F701533,-92.871187,57.868767,Vulpes vulpes,6,A
367,F701533,-92.870593,57.868196,Vulpes vulpes,8,A
368,F701533,-92.886275,57.860834,Vulpes vulpes,8,A
369,F701533,-92.877812,57.859504,Vulpes vulpes,10,A
370,F701533,-92.875799,57.850266,Vulpes vulpes,7,A
371,F701533,-92.875657,57.850179,Vulpes vulpes,6,A
372,F701533,-92.873554,57.854421,Vulpes vulpes,6,A
373,F701533,-92.873858,57.854291,Vulpes vulpes,8,A
374,F701533,-92.882747,57.856373,Vulpes vulpes,7,A
375,F701533,-92.88334,57.858765,Vulpes vulpes,8,A
376,F701533,-92.883449,57.858774,Vulpes vulpes,8,A
377,F701533,-92.883414,57.85882,Vulpes vulpes,9,A
378,F701533,-92.883349,57.858822,Vulpes vulpes,7,A
379,F701533,-92.883327,57.858787,Vulpes vulpes,8,A
380,F701533,-92.883398,57.858828,Vulpes vulpes,8,A
